metric,value,interpretation
priority_lsms_received_raw_value_profile_dataset_rows,3,Datasets with received raw value-profile evidence.
priority_lsms_received_raw_value_profile_variable_rows,218,Candidate requirement variable rows with value-profile evidence.
priority_lsms_received_raw_value_profile_nonmissing_variable_rows,217,Candidate variables with at least one nonmissing raw value.
priority_lsms_received_raw_value_profile_value_label_rows,52,Candidate variables with raw value-label metadata.
priority_lsms_received_raw_key_design_geography_profile_rows,217,"Utility key, design, and geography variables profiled from received raw files."
priority_lsms_received_raw_value_requirement_profile_rows,21,Requirement-level value-profile summary rows.
priority_lsms_received_raw_value_profile_requirements_with_profiles,21,Requirements with value-profile evidence available for manual review.
priority_lsms_received_raw_value_profile_raw_value_verified_rows,0,No rows are value-verified until reviewer acceptance fields and documentation checks pass.
priority_lsms_received_raw_value_profile_data_write_status,blocked_value_profile_only,Value-profile evidence does not write promoted analysis data.
modeling_gate_status,blocked,Models remain blocked until promoted registry thresholds and climate linkage pass.
priority_lsms_received_raw_value_profile_status_value_profile_available_needs_documentation_review,72,Candidate variable value-profile status count.
priority_lsms_received_raw_value_profile_status_value_profile_available_needs_semantics_review,145,Candidate variable value-profile status count.
priority_lsms_received_raw_value_profile_status_value_profile_no_nonmissing_values,1,Candidate variable value-profile status count.
priority_lsms_received_raw_value_requirement_status_value_profile_available_not_value_verified,21,Requirement value-profile status count.
priority_lsms_received_raw_key_design_geography_role_admin_geography_region,6,Utility key/design/geography variable role count.
priority_lsms_received_raw_key_design_geography_role_cluster_or_enumeration_area,111,Utility key/design/geography variable role count.
priority_lsms_received_raw_key_design_geography_role_household_key_component,97,Utility key/design/geography variable role count.
priority_lsms_received_raw_key_design_geography_role_survey_design_strata,3,Utility key/design/geography variable role count.
priority_lsms_received_raw_value_profile_handoff_readmes_written,3,Per-dataset received raw value-profile handoffs written.
